,Company,Rating,No_of_ratings,Review,Size,Processor,RAM,Memory,OpSys,Price,MRP,ImgURL
939,Lenovo,4.3,115,6,40.0,Intel Core i3 Processor (11th Gen),8,1 TB HDD|256 GB SSD,64 bit Windows 11 ,39490,59390,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70
940,acer,4.2,27,3,36.0,Intel Pentium Silver Processor,4,256 GB SSD,64 bit Windows 11 ,26490,32990,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/b/l/5/a314-35-notebook-acer-original-imagg46sdzyjh6ge.jpeg?q=70
941,ASUS,4.253596614950631,2841,241,36.0,Intel Core i7 Processor (8th Gen),8,1 TB HDD|256 GB SSD,64 bit Windows 10 ,93990,98912,https://rukminim1.flixcart.com/image/312/312/kf8kvbk0/computer/f/x/f/asus-original-imafvq243ppg4hax.jpeg?q=70
942,Lenovo,4.3,402,49,40.0,AMD Ryzen 5 Hexa Core Processor,8,1 TB HDD,64 bit Windows 10 ,56990,76890,https://rukminim1.flixcart.com/image/312/312/kk2wl8w0/computer/f/k/b/na-gaming-laptop-lenovo-original-imafzgdkvx9guy8q.jpeg?q=70
943,HP,4.2,253,20,36.0,AMD Ryzen 5 Hexa Core Processor,16,512 GB SSD,64 bit Windows 11 ,49990,59240,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/c/p/c/14s-fy1005au-thin-and-light-laptop-hp-original-imagg4dgtu77mzye.jpeg?q=70
944,HP,4.1,41,2,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11 ,59000,86500,https://rukminim1.flixcart.com/image/312/312/kyvvtzk0/computer/x/i/v/-original-imagbygzjwthsan3.jpeg?q=70
945,Lenovo,4.0,60,13,40.0,Intel Core i7 Processor (11th Gen),16,512 GB SSD,64 bit Windows 10 ,117990,153490,https://rukminim1.flixcart.com/image/312/312/ksj9dow0/computer/n/i/p/na-gaming-laptop-lenovo-original-imag6345sb2jfu2a.jpeg?q=70
946,Infinix,4.3,362,57,36.0,Intel Core i3 Processor (10th Gen),8,512 GB SSD,64 bit Windows 11 ,38990,54999,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/q/3/9/-original-imagf39qg32keh2h.jpeg?q=70
947,Lenovo,4.3,2841,241,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,Windows 11 ,55990,83890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/d/c/gaming-3-gaming-laptop-lenovo-original-imaghtkrg8rw6jtp.jpeg?q=70
948,DELL,3.7,3,2,34.0,Intel Core i7 Processor (12th Gen),16,512 GB SSD,64 bit Windows 11 ,89990,112464,https://rukminim1.flixcart.com/image/312/312/l4x2rgw0/computer/t/c/y/inspiron-5320-thin-and-light-laptop-dell-original-imagfpzgrnw6hykf.jpeg?q=70
949,DELL,4.3,7,0,40.0,Intel Core i3 Processor (11th Gen),8,1 TB HDD,Windows 11 ,42500,55350,https://rukminim1.flixcart.com/image/312/312/kubk70w0/computer/w/q/e/inspiron-3511-laptop-dell-original-imag7guhghwehqbf.jpeg?q=70
950,ASUS,4.253596614950631,2841,241,40.0,Intel Core i7 Processor (12th Gen),16,1 TB SSD,Windows 11 ,140899,179000,https://rukminim1.flixcart.com/image/312/312/l4ssfww0/computer/i/8/w/fx517zm-hf043ws-gaming-laptop-asus-original-imagfm7bk9hmygzk.jpeg?q=70
951,Lenovo,4.2,974,75,36.0,Intel Core i3 Processor (11th Gen),8,256 GB SSD,64 bit Windows 11 ,33990,60890,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
952,HP,4.1,63,7,34.0,Intel Core i5 Processor (11th Gen),16,512 GB SSD,64 bit Windows 10 ,80000,99203,https://rukminim1.flixcart.com/image/312/312/l2ghgnk0/computer/q/y/u/-original-imagdsjrxusgdzdm.jpeg?q=70
953,acer,4.0,1,1,40.0,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",8,64 bit Windows 10 Operating System,8 GB DDR3 RAM,119990,124900,https://rukminim1.flixcart.com/image/312/312/computer/x/4/g/acer-aspire-notebook-original-imaeqcx3tpzq5cna.jpeg?q=70
954,Lenovo,4.3,824,97,40.0,Intel Core i3 Processor (11th Gen),8,256 GB SSD,64 bit Windows 11 ,36500,65000,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
955,Lenovo,4.2,31,3,40.0,Intel Core i5 Processor (11th Gen),16,512 GB SSD,Windows 11 ,54300,84603,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/b/0/15itl6-thin-and-light-laptop-lenovo-original-imagkwgzafjp33es.jpeg?q=70
956,ASUS,4.253596614950631,2841,241,41.0,AMD Ryzen 9 Octa Core Processor,16,1 TB SSD,Windows 11 ,211990,254990,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/i/m/gv601rm-m5039ws-2-in-1-gaming-laptop-asus-original-imaggvdunhtwfxkh.jpeg?q=70
957,DELL,4.253596614950631,2841,241,40.0,Intel Core i3 Processor (11th Gen),8,1 TB HDD|256 GB SSD,64 bit Windows 10 ,45890,60371,https://rukminim1.flixcart.com/image/312/312/kylvr0w0/computer/x/k/c/inspiron-laptop-dell-original-imagat4jfka6hv5q.jpeg?q=70
958,ASUS,4.4,392,119,40.0,Stylish Red Backlit Anti Ghosting Keyboard with 30 Key Rollover,8,Array Microphones to Filter Out Ambient Noise,NVIDIA Geforce GTX 1050 for Desktop Level Performance,63490,74990,https://rukminim1.flixcart.com/image/312/312/ja8j0cw0/computer/h/z/c/asus-na-laptop-original-imaewzj7ubwgzuh6.jpeg?q=70
959,Lenovo,4.3,252,29,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,64 bit Windows 11 ,60990,93690,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70
960,ASUS,4.253596614950631,2841,241,36.0,Intel Core i7 Processor (10th Gen),16,1 TB SSD,64 bit Windows 10 ,154490,202990,https://rukminim1.flixcart.com/image/312/312/kf8kvbk0/computer/p/m/y/asus-original-imafvq2qyjm7humq.jpeg?q=70
961,Infinix,3.7,122,27,36.0,Intel Core i7 Processor (10th Gen),16,512 GB SSD,64 bit Windows 11 ,49990,69999,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/l/a/w/-original-imagf39qgu4qjmgk.jpeg?q=70
962,Lenovo,3.8,78,17,40.0,Intel Core i5 Processor (4th Gen),8,1 TB HDD,64 bit Windows 8 ,47490,52490,https://rukminim1.flixcart.com/image/312/312/computer/t/2/s/lenovo-b50-70-notebook-original-imadxweeqmwvmnwy.jpeg?q=70
963,HP,4.2,253,20,36.0,AMD Ryzen 5 Hexa Core Processor,16,512 GB SSD,64 bit Windows 11 ,49990,59240,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/c/p/c/14s-fy1005au-thin-and-light-laptop-hp-original-imagg4dgtu77mzye.jpeg?q=70
